Codi;PORIND
0807705001;29
0807706001;36
0807707001;46
0807708001;251
0807708002;264
0807709001;228
0807709002;273
0807710001;398
0807710002;272
0807710003;394
0807710004;182
0807710005;131
0807710006;311
0807710007;292
0807710008;296
0808101001;33
0808501001;163
0808601001;483
0808601002;454
0808601003;498
0808601004;552
0808601005;525
0808602001;180
0808701001;20
0808801001;216
0808801002;231
0808801003;295
0808802001;205
0808802002;205
0808802003;408
0808901001;174
0808901002;153
0808901003;185
0808901004;261
0808901005;162
0808901006;121
0808901007;265
0808902001;235
0808902002;120
0808902003;108
0808902004;343
0808902005;119
0808902006;363
0808902007;172
0808902008;259
0808902009;251
0808903001;193
0808903002;154
0808903003;342
0808903004;208
0808903005;251
0808903006;189
0808903007;342
0808904001;309
0808904002;271
0809101001;219
0809101002;248
0809102001;295
0809401001;226
0809501001;7
0809601001;29
0809601002;107
0809601003;228
0809601004;78
0809601005;179
0809601006;136
0809601007;195
0809601008;125
0809601009;240
0809601010;318
0809601011;361
0809602001;184
0809602002;41
0809602003;36
0809602004;465
0809602005;197
0809602006;166
0809602007;200
0809603001;165
0809603002;345
0809603003;242
0809603004;247
0809603005;304
0809603006;394
0809603007;185
0809603008;288
0809603009;107
0809604001;239
0809604002;341
0809604003;138
0809604004;178
0809604005;90
0809604006;124
0809604007;419
0809604008;174
0809604009;210
0809604010;407
0809604011;183
0809701001;141
0810101001;163
0810101002;219
0810101003;88
0810101004;74
0810101005;146
0810101006;320
0810101007;307
